<?xml version="1.0" ?>
<socials>
    <social id="6" name="agree" ynotarg="You %a %v." rnotarg="%N %a %vs." ttarg="%N %a %vs with you." rtarg="%N %a %vs with %T." ytarg="You %a %v with %T." />
    <social id="7" name="chuckle" ynotarg="You %v %a." rnotarg="%N %vs %a." ttarg="%N %vs %a at you." rtarg="%N %vs %a at %T." ytarg="You %v %a at %T." />
    <social id="8" name="cower" ynotarg="You %v in a corner." rnotarg="%N %vs in a corner." ttarg="%N %vs in fear from you." rtarg="%N %vs in fear from %T." ytarg="You %v in fear from %T." />
    <social id="9" name="cry" ynotarg="You %v." rnotarg="%N %vs." ttarg="%N %vs on your shoulder." rtarg="%N %vs on %T&apos;s shoulder." ytarg="You %v on %T&apos;s shoulder." />
    <social id="4" name="frown" ynotarg="You %v %a." rnotarg="%N %vs %a." ttarg="%N %vs %a at you." rtarg="%N %vs %a at %T." ytarg="You %v %a at %T." />
    <social id="2" name="grin" ynotarg="You %v %a." rnotarg="%N %vs %a." ttarg="%N %vs %a at you." rtarg="%N %vs %a at %T." ytarg="You %v %a at %T." />
    <social id="3" name="nod" ynotarg="You %v %a." rnotarg="%N %vs %a." ttarg="%N %vs %a at you." rtarg="%N %vs %a at %T." ytarg="You %v %a at %T." />
    <social id="1" name="smile" ynotarg="You %a %v." rnotarg="%N %a %vs." ttarg="%N %a %vs at you." rtarg="%N %a %vs at %T." ytarg="You %a %v at %T." />
    <social id="5" name="wave" ynotarg="You %a %v." rnotarg="%N %a %vs." ttarg="%N %a %vs to you." rtarg="%N %a %vs to %T." ytarg="You %a %v to %T." />
</socials>
